"Spectral irradiance of LEDs in 20 cm distance and solar irradiance [mW m^(-2) nm^(-1)] of 17/04/1996 12:20 MEZ at HMGU Neuherberg, Germany",,,,
Measurements by Bentham doublemonochromator,,,,
lambda [nm],E_whiteLED,E_redLED,lambda [nm],E_sun
662,2.23546,1.85853
663,2.20040,1.58091
664,2.14798,1.34786
665,2.09828,1.16868
666,2.05290,1.01322
667,2.01934,0.88173
668,1.96060,0.76132
669,1.91689,0.66090
670,1.87626,0.57220
671,1.83434,0.49634
672,1.80159,0.42802
673,1.74681,0.36826
674,1.70366,0.31641
675,1.67809,0.27057
676,1.64235,0.23222
677,1.60425,0.19643
678,1.55947,0.17095
679,1.53012,0.14812
680,1.48998,0.12669
681,1.45594,0.10932
682,1.41894,0.09532
683,1.39111,0.08302
684,1.36052,0.07321
685,1.32607,0.06471
686,1.29087,0.05668
687,1.26542,0.05033
688,1.23093,0.04452
689,1.20611,0.03880
690,1.17336,0.03551
691,1.15223,0.03185
692,1.12860,0.02876
693,1.09803,0.02516
694,1.07486,0.02298
695,1.04618,0.02123
696,1.02212,0.01869
697,1.00085,0.01670
698,0.96857,0.01504
699,0.94958,0.01394
700,0.92531,0.01260
701,0.86969,0.01126
702,0.87939,0.01070
703,0.86457,0.00969
704,0.84331,0.00909
705,0.82221,0.00868
706,0.80049,0.00775
707,0.77845,0.00728
708,0.75807,0.00683
709,0.73951,0.00628
710,0.72192,0.00584
711,0.70614,0.00483
712,0.68805,0.00514
713,0.67205,0.00451
714,0.65208,0.00421
715,0.63597,0.00372
716,0.62137,0.00437
717,0.60302,0.00365
718,0.58873,0.00333
719,0.57327,0.00324
720,0.56279,0.00281
721,0.54358,0.00372
722,0.53193,0.00249
723,0.51500,0.00312
724,0.50382,0.00262
725,0.49416,0.00239
726,0.48035,0.00251
727,0.46600,0.00250
728,0.45609,0.00266
729,0.44691,0.00277
730,0.43183,0.00173
731,0.42236,0.00174
732,0.41056,0.00156
733,0.39866,0.00205
734,0.38965,0.00164
735,0.38004,0.00204
736,0.36816,0.00238
737,0.36044,0.00153
738,0.34946,0.00181
739,0.34285,0.00147
740,0.33276,0.00183
741,0.32269,0.00240
742,0.31729,0.00222
743,0.31026,0.00284
744,0.30043,0.00228
745,0.29355,0.00187
746,0.28540,0.00290
747,0.27787,0.00289
748,0.27114,0.00211
749,0.26358,0.00278
750,0.25751,0.00270
751,0.25063,0.00251
752,0.24524,0.00223
753,0.23816,0.00354
754,0.23172,0.00374
755,0.22642,0.00332
756,0.22331,0.00412
757,0.21436,0.00339
758,0.21111,0.00480
759,0.20572,0.00434
760,0.20110,0.00509
761,0.19549,0.00520
762,0.18948,0.00436
763,0.18532,0.00456
764,0.17916,0.00619
765,0.17742,0.00591
766,0.17138,0.00600
767,0.16753,0.00701
768,0.16508,0.00731
769,0.15943,0.00695
770,0.15757,0.00867
771,0.15319,0.00859
772,0.14933,0.00935
773,0.14544,0.00956
774,0.14406,0.01191
775,0.13880,0.01175
776,0.13445,0.01133
777,0.13319,0.01190
778,0.12885,0.01359
779,0.12651,0.01478
780,0.12322,0.01507
781,0.11816,0.01651
782,0.11632,0.01707
783,0.11478,0.01810
784,0.11226,0.01719
785,0.10872,0.01947
786,0.10718,0.02181
787,0.10366,0.02329
788,0.10150,0.02423
789,0.09972,0.02556
790,0.09702,0.02655
791,0.09406,0.03020
792,0.09199,0.02904
793,0.09047,0.03233
794,0.08662,0.03238
795,0.08761,0.03447
796,0.08418,0.03630
797,0.08106,0.04216
798,0.08176,0.04076
799,0.08059,0.04405
800,0.07629,0.04838
801,0.07997,0.05245
802,0.07163,0.05163
803,0.07266,0.05466
804,0.06670,0.05843
805,0.06485,0.06012
806,0.06969,0.06456
807,0.06541,0.06218
808,0.06292,0.07193
809,0.06393,0.07624
810,0.06100,0.07648
811,0.05532,0.08303
812,0.06207,0.08764
813,0.05699,0.09623
814,0.05494,0.10289
815,0.06037,0.10579
816,0.05561,0.10876
817,0.04914,0.11491
818,0.05052,0.12434
819,0.04705,0.12847
820,0.04991,0.13451
821,0.05126,0.14423
822,0.05471,0.14997
823,0.04858,0.15335
824,0.04483,0.16167
825,0.04187,0.17342
826,0.04926,0.17694
827,0.04140,0.19298
828,0.04549,0.19210
829,0.04972,0.20791
830,0.04554,0.21251
831,0.04633,0.22760
832,0.03824,0.23527
833,0.03939,0.24015
834,0.04271,0.24912
835,0.04573,0.26120
836,0.04958,0.27309
837,0.03936,0.28227
838,0.04106,0.29706
839,0.04698,0.31533
840,0.03744,0.31407
