Extraterrestrial Solar Irradiance [mW m^(-2) nm^(-1)],,,
lambda (nm),"E_S,5800K",lambda (nm),"E_S,Wehrli85"
678.28,1513.2,895.0,936
679.10,1510.9,897.0,939
679.91,1508.6,899.0,912
680.73,1506.4,901.0,905
681.54,1504.1,903.0,905
682.36,1501.8,905.0,893
683.17,1499.6,907.0,891
683.98,1497.3,909.0,861
684.80,1495.0,911.0,870
685.61,1492.8,913.0,876
686.43,1490.5,915.0,866
687.24,1488.2,917.0,859
688.05,1486.0,919.0,858
688.87,1483.7,921.0,830
689.68,1481.4,923.0,821
690.50,1479.2,925.0,825
691.31,1476.9,927.0,828
692.12,1474.6,929.0,833
692.94,1472.3,931.0,826
693.75,1470.1,933.0,832
694.57,1467.8,935.0,818
695.38,1465.5,937.0,802
696.19,1463.3,939.0,808
697.01,1461.0,941.0,800
697.82,1458.7,943.0,784
698.63,1456.4,945.0,799
699.45,1454.1,947.0,793
700.26,1451.9,949.0,777
701.07,1449.6,951.0,778
701.89,1447.3,953.0,771
702.70,1445.1,955.0,760
703.51,1442.8,957.0,774
704.33,1440.5,959.0,771
705.14,1438.2,961.0,767
705.95,1436.0,963.0,767
706.77,1433.7,965.0,764
707.58,1431.4,967.0,757
708.39,1429.1,969.0,776
709.21,1426.8,971.0,763
710.02,1424.6,973.0,764
710.83,1422.3,975.0,750
711.65,1420.0,977.0,768
712.46,1417.8,979.0,768
713.27,1415.5,981.0,762
714.09,1413.2,983.0,766
714.90,1410.9,985.0,771
715.71,1408.7,987.0,756
716.52,1406.4,989.0,767
717.34,1404.1,991.0,764
718.15,1401.9,993.0,755
718.96,1399.6,995.0,756
719.78,1397.3,997.0,743
720.59,1395.0,999.0,743
721.40,1392.8,1002.5,745
722.21,1390.5,1007.5,737
723.03,1388.2,1012.5,734
723.84,1386.0,1017.5,721
724.65,1383.7,1022.5,704
725.46,1381.5,1027.5,708
726.28,1379.2,1032.5,688
727.09,1376.9,1037.5,692
727.90,1374.7,1042.5,681
728.71,1372.4,1047.5,685
729.53,1370.1,1052.5,661
730.34,1367.9,1057.5,650
731.15,1365.6,1062.5,642
731.96,1363.4,1067.5,643
732.78,1361.1,1072.5,638
733.59,1358.9,1077.5,630
734.40,1356.6,1082.5,620
735.21,1354.4,1087.5,614
736.03,1352.1,1092.5,612
736.84,1349.9,1097.5,599
737.65,1347.6,1102.5,608
738.46,1345.4,1107.5,601
739.27,1343.2,1112.5,603
740.09,1340.9,1117.5,589
740.90,1338.7,1122.5,579
741.71,1336.4,1127.5,569
742.52,1334.2,1132.5,566
743.33,1332.0,1137.5,563
744.15,1329.7,1142.5,557
744.96,1327.5,1147.5,556
745.77,1325.2,1152.5,545
746.58,1323.0,1157.5,554
747.39,1320.8,1162.5,540
748.20,1318.6,1167.5,530
749.02,1316.3,1172.5,533
