"","no","peakTime","peak","baseline1","baseline2","baseline","amplitude","relAmp","percDiff","duration","irradGain","relIrrad","irradTot","baselineTime1","baselineTime2","symmetry","z","timeInterval"
"2416",2416,117733,11.1,42.17,163.57,102.87,91.77,91.77,0.8921,101,-5793.70256711321,-5793.70256711321,4699.04427458491,117704,117805,"symmetric","1177331",154
"2541",2541,122875,12.55,70.15,68.79,69.47,56.92,56.92,0.8193,101,-3492.21406720755,-3492.21406720755,3594.0313650566,122832,122933,"symmetric","1228751",67
"2895",2895,136993,11.51,65.45,58.79,62.12,50.61,50.61,0.8147,101,-3233.41388762264,-3233.41388762264,3102.87248388679,136944,137045,"symmetric","1369931",108
"543",543,20983,10.65,51.59,100.83,76.21,65.56,65.56,0.8603,100,-3613.95861809434,-3613.95861809434,4083.51615435849,20945,21045,"symmetric","209831",74
"1366",1366,69912,13.13,64.07,82.91,73.49,60.36,60.36,0.8213,100,-4029.85401792453,-4029.85401792453,3392.23131509434,69863,69963,"symmetric","699121",61
"1994",1994,96287,12.7,78.21,88.9,83.555,70.86,70.855,0.8481,100,-4886.49434858491,-4886.49434858491,3552.20929528302,96244,96344,"symmetric","962871",80
"2920",2920,137729,8.78,57.31,96.09,76.7,67.92,67.92,0.8855,100,-3916.01261496226,-3916.01261496226,3830.70457409434,137693,137793,"symmetric","1377291",95
"135",135,4813,10.1,52.86,90.29,71.575,61.48,61.475,0.859,99,-3304.99394796226,-3304.99394796226,3852.64941996226,4776,4875,"symmetric","48131",264
"595",595,25619,28.51,722.59,294.88,508.735,480.22,480.225,0.9439,99,-28434.7755933962,-28434.7755933962,22438.4792179245,25571,25670,"symmetric","256191",84
"2722",2722,130951,88.45,609.38,102,609.38,520.93,520.93,0.8549,99,3848.63733509434,3848.63733509434,39417.6670709434,130855,130954,"asymmetric","1309511",324
"1270",1270,63237,10.77,80.69,37.82,59.255,48.48,48.485,0.8182,98,-2791.12986560377,-2791.12986560377,3075.10107826415,63176,63274,"symmetric","632371",426
"298",298,11734,9.66,45.03,75.49,60.26,50.6,50.6,0.8397,97,-2831.21505984906,-2831.21505984906,3074.03596222641,11690,11787,"symmetric","117341",75
"84",84,2875,9.73,41.84,75.96,58.9,49.17,49.17,0.8348,96,-2636.25324384906,-2636.25324384906,3077.15875454717,2835,2931,"symmetric","28751",186
"2342",2342,114266,12.37,71.08,72.82,71.95,59.58,59.58,0.8281,96,-3545.02774103774,-3545.02774103774,3434.14531018868,114225,114321,"symmetric","1142661",59
"214",214,8770,7.16,43,69.04,56.02,48.86,48.86,0.8722,95,-2438.95323039623,-2438.95323039623,2938.99569639623,8738,8833,"symmetric","87701",83
"462",462,16805,9.6,36.28,129.79,83.035,73.44,73.435,0.8844,93,-4217.42376339623,-4217.42376339623,3587.84318886792,16779,16872,"symmetric","168051",85
"2382",2382,116036,13.19,82.63,58.67,70.65,57.46,57.46,0.8133,93,-3525.28924313207,-3525.28924313207,3115.42590667925,116000,116093,"symmetric","1160361",44
"1233",1233,59864,11.96,54.29,39.69,46.99,35.03,35.03,0.7455,92,-1840.14847324528,-1840.14847324528,2529.88893288679,59814,59906,"symmetric","598641",501
"2154",2154,104241,13.32,64.06,49.14,56.6,43.28,43.28,0.7647,92,-2481.70403428302,-2481.70403428302,2781.88890911321,104200,104292,"symmetric","1042411",52
"3017",3017,142054,9.54,59.35,76.84,68.095,58.56,58.555,0.86,92,-3061.74703245283,-3061.74703245283,3271.07471943396,142014,142106,"symmetric","1420541",129
"668",668,30089,10.98,94.31,37.07,65.69,54.71,54.71,0.8329,91,-2854.63118037736,-2854.63118037736,3188.97558,30036,30127,"symmetric","300891",115
"1624",1624,79648,14.08,58.58,37.12,47.85,33.77,33.77,0.7057,91,-1844.81232877359,-1844.81232877359,2557.36285726415,79584,79675,"symmetric","796481",138
"524",524,19529,473.79,735.29,632.63,683.96,210.17,210.17,0.3073,90,-10732.4003037736,-10732.4003037736,51508.0872679245,19464,19554,"symmetric","195291",100
"550",550,22041,11.7,58.85,46.96,52.905,41.2,41.205,0.7788,90,-2095.06975709434,-2095.06975709434,2719.46253837736,22000,22090,"symmetric","220411",136
"1905",1905,93201,8.63,51.96,40.14,46.05,37.42,37.42,0.8126,87,-2202.56799198113,-2202.56799198113,1849.93805632075,93174,93261,"symmetric","932011",118
"1913",1913,93769,207.4,546.14,661.25,603.695,396.29,396.295,0.6564,87,-22464.7452849057,-22464.7452849057,30660.0018622642,93731,93818,"symmetric","937691",148
"3070",3070,144111,9.83,27.19,96.42,61.805,51.98,51.975,0.841,85,-2895.3828480566,-2895.3828480566,2419.84995911321,144070,144155,"symmetric","1441111",63
"2396",2396,116869,13.01,42.36,20.31,31.335,18.33,18.325,0.585,83,-1021.25734437736,-1021.25734437736,1610.93552807547,116831,116914,"symmetric","1168691",280
"1297",1297,65347,61.75,134.41,81.91,108.16,46.41,46.41,0.4291,82,-1745.37424018868,-1745.37424018868,7231.74336169811,65313,65395,"symmetric","653471",217
"2251",2251,110194,11.82,160.09,720.52,440.305,428.48,428.485,0.9731,82,-27988.6599042453,-27988.6599042453,8556.99868443396,110118,110200,"symmetric","1101941",206
"643",643,27922,9.51,49.16,28.49,38.825,29.31,29.315,0.7549,80,-1365.71002030189,-1365.71002030189,1779.1080870566,27871,27951,"symmetric","279221",197
"2801",2801,134033,12.22,111.28,133.1,122.19,109.97,109.97,0.9,77,-5940.08050550943,-5940.08050550943,3590.71196637736,133983,134060,"symmetric","1340331",95
"55",55,1909,14.3,52.23,71.64,61.935,47.64,47.635,0.7692,76,-1889.66539867925,-1889.66539867925,2879.02319943396,1888,1964,"symmetric","19091",104
"966",966,45141,246.42,604.25,284.81,604.25,357.83,357.83,0.5922,75,-483.634952830187,-483.634952830187,33300.6511415094,45073,45148,"asymmetric","451411",664
"2264",2264,110906,12.56,180.22,526.27,353.245,340.68,340.685,0.9644,74,-20473.3482588679,-20473.3482588679,6020.03431188679,110834,110908,"symmetric","1109061",95
"2564",2564,123716,12.4,40.22,64.69,52.455,40.06,40.055,0.7637,74,-1538.22135362264,-1538.22135362264,2396.12389166038,123688,123762,"symmetric","1237161",82
"1432",1432,73081,85.71,361.72,92.72,361.72,276.01,276.01,0.763,73,-2813.3106809434,-2813.3106809434,14001.0055301887,73014,73087,"asymmetric","730811",99
"1433",1433,73214,8.68,30.57,18.91,24.74,16.06,16.06,0.6492,72,-770.360356698113,-770.360356698113,1035.68169481132,73173,73245,"symmetric","732141",133
"315",315,12599,55.51,214.46,178.49,196.475,140.97,140.965,0.7175,70,-7394.58458490566,-7394.58458490566,6555.38583396226,12570,12640,"symmetric","125991",46
"1153",1153,52633,170.59,397.71,427.7,412.705,242.11,242.115,0.5866,70,-12987.1882528302,-12987.1882528302,16314.7342584906,52601,52671,"symmetric","526331",43
"1160",1160,52888,111.3,362.31,167.48,264.895,153.59,153.595,0.5798,69,-7042.58658679245,-7042.58658679245,11499.9323943396,52855,52924,"symmetric","528881",71
"3044",3044,143433,11.09,41.65,26.33,33.99,22.9,22.9,0.6737,67,-823.23040364151,-823.23040364151,1487.93505673585,143390,143457,"symmetric","1434331",124
"166",166,6782,9.85,26.22,46.91,36.565,26.71,26.715,0.7305,63,-880.600371792453,-880.600371792453,1459.71088556604,6761,6824,"symmetric","67821",83
"1755",1755,83931,8.87,19.61,40.16,29.885,21.02,21.015,0.7034,63,-817.060566396226,-817.060566396226,1095.55933398113,83911,83974,"symmetric","839311",197
"2830",2830,134730,32.11,165.49,38.32,165.49,133.38,133.38,0.806,62,-1734.67137226415,-1734.67137226415,4685.22581773585,134673,134735,"asymmetric","1347301",98
"2034",2034,98399,23.48,31.65,121.5,121.5,98.02,98.02,0.8067,61,-1648.66009924528,-1648.66009924528,3099.15880981132,98387,98448,"asymmetric","983991",157
"2778",2778,133541,170.07,343.61,701.37,522.49,352.42,352.42,0.6745,61,-18075.4593758491,-18075.4593758491,14318.8337071698,133492,133553,"symmetric","1335411",96
"1787",1787,85087,122.05,185.82,395.33,290.575,168.52,168.525,0.58,60,-1111.60686396226,-1111.60686396226,16613.5635492453,85081,85141,"symmetric","850871",142
"2257",2257,110544,176.02,457.68,358.91,408.295,232.28,232.275,0.5689,60,-10990.1050132075,-10990.1050132075,13915.8559188679,110523,110583,"symmetric","1105441",76
"2372",2372,115602,148.15,500.17,667.75,583.96,435.81,435.81,0.7463,60,-15106.3231160377,-15106.3231160377,20515.2741169811,115585,115645,"symmetric","1156021",42
"82",82,2659,92.84,575.44,227.25,401.345,308.5,308.505,0.7687,59,-10311.0520007547,-10311.0520007547,13769.4950558491,2618,2677,"symmetric","26591",57
"2869",2869,136075,56.36,374.74,193.1,283.92,227.56,227.56,0.8015,58,-8800.72486471698,-8800.72486471698,7950.56331735849,136045,136103,"symmetric","1360751",61
"641",641,27658,163.23,219.52,230.88,225.2,61.97,61.97,0.2752,55,-2677.89297735849,-2677.89297735849,9933.39567169811,27625,27680,"symmetric","276581",83
"599",599,25984,29.97,66.16,126.89,96.525,66.56,66.555,0.6896,53,-1839.5379390566,-1839.5379390566,3372.85240811321,25962,26015,"symmetric","259841",212
"1627",1627,79777,29.14,66.85,194.2,130.525,101.38,101.385,0.7767,53,-2300.30448622642,-2300.30448622642,4748.22485490566,79765,79818,"symmetric","797771",27
"1137",1137,51973,7.34,17.79,27.87,22.83,15.49,15.49,0.6785,52,-554.395702924528,-554.395702924528,655.619152075472,51949,52001,"symmetric","519731",99
"1832",1832,89798,87.61,138.7,358.78,248.74,161.13,161.13,0.6478,52,-4695.66006792453,-4695.66006792453,8487.61913207547,89782,89834,"symmetric","897981",43
"2790",2790,133775,147.63,888.47,882.24,885.355,737.72,737.725,0.8332,52,-33203.4502958491,-33203.4502958491,13720.4239041509,133764,133816,"symmetric","1337751",23
"2930",2930,138170,242.76,497.58,431.85,464.715,221.96,221.955,0.4776,52,-7322.48566132075,-7322.48566132075,17307.4178886792,138146,138198,"symmetric","1381701",49
"179",179,7642,204.49,419.19,293.13,356.16,151.67,151.67,0.4258,51,718.504183018871,718.504183018871,19238.6500811321,7593,7644,"symmetric","76421",67
"1435",1435,73299,41,48.83,175.6,175.6,134.6,134.6,0.7665,51,-1846.25559339623,-1846.25559339623,3988.91542924528,73292,73343,"asymmetric","732991",85
"1465",1465,74135,181.97,347.23,211.71,279.47,97.5,97.5,0.3489,51,-2206.9786754717,-2206.9786754717,12325.5211245283,74094,74145,"symmetric","741351",77
