"","w.length","type","s.q.irrad"
"367",447.12,"clear.sky",1.0310860294742
"368",447.58,"clear.sky",1.04943091095792
"369",448.05,"clear.sky",1.05189017375676
"370",448.51,"clear.sky",1.04287581490055
"371",448.98,"clear.sky",1.06520860566669
"372",449.44,"clear.sky",1.07668266020948
"373",449.91,"clear.sky",1.08861950630725
"374",450.37,"clear.sky",1.10235996203997
"375",450.84,"clear.sky",1.10862151784237
"376",451.3,"clear.sky",1.10430267836362
"377",451.77,"clear.sky",1.0864823407931
"378",452.23,"clear.sky",1.06202075750031
"379",452.7,"clear.sky",1.03661475435124
"380",453.16,"clear.sky",1.0352854936121
"381",453.62,"clear.sky",1.03634466786892
"382",454.09,"clear.sky",1.06004872835403
"383",454.55,"clear.sky",1.06892129545647
"384",455.02,"clear.sky",1.06766892166161
"385",455.48,"clear.sky",1.07075831450574
"386",455.95,"clear.sky",1.08844063994538
"387",456.41,"clear.sky",1.102923424285
"388",456.88,"clear.sky",1.09751534136018
"389",457.34,"clear.sky",1.0913394679973
"390",457.8,"clear.sky",1.09880966569822
"391",458.27,"clear.sky",1.08390348387986
"392",458.73,"clear.sky",1.07602898986524
"393",459.2,"clear.sky",1.08435360821561
"394",459.66,"clear.sky",1.08403119036882
"395",460.13,"clear.sky",1.08852953487913
"396",460.59,"clear.sky",1.10003637333318
"397",461.05,"clear.sky",1.1233993210479
"398",461.52,"clear.sky",1.12543593273053
"399",461.98,"clear.sky",1.12497280237468
"400",462.45,"clear.sky",1.12576263819485
"401",462.91,"clear.sky",1.11556698161519
"402",463.37,"clear.sky",1.1061364466004
"403",463.84,"clear.sky",1.09371948017159
"404",464.3,"clear.sky",1.09358017515914
"405",464.76,"clear.sky",1.08297524364757
"406",465.23,"clear.sky",1.0865009188733
"407",465.69,"clear.sky",1.09217683490829
"408",466.16,"clear.sky",1.08447158838269
"409",466.62,"clear.sky",1.08117380650943
"410",467.08,"clear.sky",1.06309028450428
"411",467.55,"clear.sky",1.08121412161403
"412",468.01,"clear.sky",1.09389843637342
"413",468.48,"clear.sky",1.09351971825806
"414",468.94,"clear.sky",1.09111847496812
"415",469.4,"clear.sky",1.08053179322962
"416",469.87,"clear.sky",1.06943260256866
"417",470.33,"clear.sky",1.06611350707432
"418",470.79,"clear.sky",1.07212212502623
"419",471.26,"clear.sky",1.09032409193867
"420",471.72,"clear.sky",1.10765297640914
"421",472.18,"clear.sky",1.11278398357218
"422",472.65,"clear.sky",1.11861827473252
"423",473.11,"clear.sky",1.11097119727371
"424",473.57,"clear.sky",1.1163913024685
"425",474.04,"clear.sky",1.11082919349302
"426",474.5,"clear.sky",1.12228336381157
"427",474.96,"clear.sky",1.12225401416011
"428",475.43,"clear.sky",1.11602981175842
"429",475.89,"clear.sky",1.10032683241618
"430",476.35,"clear.sky",1.10209171805504
"431",476.82,"clear.sky",1.11190370932373
"432",477.28,"clear.sky",1.12337205211871
"433",477.74,"clear.sky",1.13899608338314
"434",478.21,"clear.sky",1.14587875425614
"435",478.67,"clear.sky",1.13744465436143
"436",479.13,"clear.sky",1.13229709596117
"437",479.59,"clear.sky",1.1331303573812
"438",480.06,"clear.sky",1.14256680110195
"439",480.52,"clear.sky",1.13796831952731
"440",480.98,"clear.sky",1.14949606808989
"441",481.45,"clear.sky",1.14876060365857
"442",481.91,"clear.sky",1.16026841106782
"443",482.37,"clear.sky",1.14205777094048
"444",482.84,"clear.sky",1.14326554300055
"445",483.3,"clear.sky",1.12556644955845
"446",483.76,"clear.sky",1.12087629634862
"447",484.22,"clear.sky",1.11136327383036
"448",484.69,"clear.sky",1.09315879822669
"449",485.15,"clear.sky",1.04600359854859
"450",485.61,"clear.sky",0.996215148599948
"451",486.07,"clear.sky",0.966458067312764
"452",486.54,"clear.sky",0.955681293812196
"453",487,"clear.sky",1.0083490412876
"454",487.46,"clear.sky",1.0438814127122
"455",487.92,"clear.sky",1.05778903847323
"456",488.39,"clear.sky",1.07608764880281
"457",488.85,"clear.sky",1.08943359182582
"458",489.31,"clear.sky",1.09062418800756
"459",489.77,"clear.sky",1.11499358784674
"460",490.24,"clear.sky",1.12737498717662
"461",490.7,"clear.sky",1.1147997951286
"462",491.16,"clear.sky",1.09503273372016
"463",491.62,"clear.sky",1.07715919739864
"464",492.09,"clear.sky",1.0789387327767
"465",492.55,"clear.sky",1.07933437695587
"466",493.01,"clear.sky",1.10071578469193
"467",493.47,"clear.sky",1.11223439717672
"468",493.94,"clear.sky",1.11238217850021
"469",494.4,"clear.sky",1.12840295736001
"470",494.86,"clear.sky",1.13026049766532
"471",495.32,"clear.sky",1.12715369040065
"472",495.78,"clear.sky",1.12205766424377
"473",496.25,"clear.sky",1.11725957553932
"474",496.71,"clear.sky",1.13001010374909
"475",497.17,"clear.sky",1.12976790818016
"476",497.63,"clear.sky",1.10815710299677
